"Assignment_Key__c","Work_Ref__c","Investigation_Case__r.Work_Ref__c","Auditor__c","Auditor_Label__c","Implementing_Agency__c","State__c","Visit_Order__c","Day_From__c","Day_To__c","Cost_Days__c","Exposure__c","Confidence_Band__c","Repeat_Visit__c","Plan_Budget_Days__c","Team_Size__c","Visit_Status__c","Not_A_Fraud_Finding__c"
"50d-4a-MP3018396-W103765","MP3018396-W103765","MP3018396-W103765","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","1.00","5193758.03","HIGH","FALSE","50","4","Planned","TRUE"
"50d-4a-MP3017455-W51808","MP3017455-W51808","MP3017455-W51808","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","4966501.02","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3019643-W41077","MP3019643-W41077","MP3019643-W41077","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","4856183.78","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3019643-W40701","MP3019643-W40701","MP3019643-W40701","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","4075103.57","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3018396-W195871","MP3018396-W195871","MP3018396-W195871","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","3324683.13","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3018396-W93488","MP3018396-W93488","MP3018396-W93488","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","3311608.99","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3017455-W51814","MP3017455-W51814","MP3017455-W51814","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","3116982.36","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3017455-W51811","MP3017455-W51811","MP3017455-W51811","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","2311169.52","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3017308-W258718","MP3017308-W258718","MP3017308-W258718","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","2208144.93","HIGH","TRUE","50","4","Planned","TRUE"
"50d-4a-MP3017455-W211751","MP3017455-W211751","MP3017455-W211751","1","Auditor 1","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Tamil Nadu","1","1","7","0.35","2208144.93","HIGH","TRUE","50","4","Planned","TRUE"
