"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3018356-W86316","MP3018356-W86316","Peer amount","amount","Recommended amount at the 100th percentile of 144 comparable works (robust z 115.3)."
"MP3018356-W86316","MP3018356-W86316","Peer duration","duration","Open for longer than 100% of comparable works still in progress."
"MP3018356-W86316","MP3018356-W86316","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018356-W86316","MP3018356-W86316","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019436-W119849","MP3019436-W119849","Peer amount","amount","Recommended amount at the 100th percentile of 30 comparable works (robust z 226.0)."
"MP3019436-W119849","MP3019436-W119849","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 36 works at a median of Rs 927,890 -> 2024: 5 works at a median of Rs 2,511,808. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019436-W119849","MP3019436-W119849","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017510-W231145","MP3017510-W231145","Peer amount","amount","Recommended amount at the 100th percentile of 950 comparable works (robust z 56.9)."
"MP3017510-W231145","MP3017510-W231145","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 154 works at a median of Rs 167,450 -> 2024: 18 works at a median of Rs 424,227. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017510-W231145","MP3017510-W231145","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042530-W216762","MP3042530-W216762","Peer amount","amount","Recommended amount at the 100th percentile of 6132 comparable works (robust z 1721.7)."
"MP3042530-W216762","MP3042530-W216762","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042530-W216762","MP3042530-W216762","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042521-W274638","MP3042521-W274638","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 212.2)."
"MP3042521-W274638","MP3042521-W274638","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 878 works at a median of Rs 21,109 -> 2024: 557 works at a median of Rs 177,842. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042521-W274638","MP3042521-W274638","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042791-W216827","MP3042791-W216827","Peer amount","amount","Recommended amount at the 97th percentile of 30 comparable works (robust z 133.9)."
"MP3042791-W216827","MP3042791-W216827","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 36 works at a median of Rs 927,890 -> 2024: 5 works at a median of Rs 2,511,808. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042791-W216827","MP3042791-W216827","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019225-W229416","MP3019225-W229416","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 225.9)."
"MP3019225-W229416","MP3019225-W229416","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019225-W229416","MP3019225-W229416","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3020008-W31791","MP3020008-W31791","Peer amount","amount","Recommended amount at the 100th percentile of 791 comparable works (robust z 69.4)."
"MP3020008-W31791","MP3020008-W31791","Peer duration","duration","Open for longer than 94% of comparable works still in progress."
"MP3020008-W31791","MP3020008-W31791","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 78%). Before/after - 2023: 12 works at a median of Rs 428,098 -> 2025: 10 works at a median of Rs 762,192. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3020008-W31791","MP3020008-W31791","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017330-W180182","MP3017330-W180182","Peer amount","amount","Recommended amount at the 100th percentile of 628 comparable works (robust z 56.0)."
"MP3017330-W180182","MP3017330-W180182","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 83 works at a median of Rs 167,260 -> 2025: 45 works at a median of Rs 1,241,038. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017330-W180182","MP3017330-W180182","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3050535-W254735","MP3050535-W254735","Peer amount","amount","Recommended amount at the 100th percentile of 42 comparable works (robust z 117.5)."
"MP3050535-W254735","MP3050535-W254735","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 57%). Before/after - 2024: 98 works at a median of Rs 478,294 -> 2025: 44 works at a median of Rs 750,916. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3050535-W254735","MP3050535-W254735","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019244-W34366","MP3019244-W34366","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 140.7)."
"MP3019244-W34366","MP3019244-W34366","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3019244-W34366","MP3019244-W34366","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019244-W34366","MP3019244-W34366","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3020004-W164588","MP3020004-W164588","Peer amount","amount","Recommended amount at the 100th percentile of 61 comparable works (robust z 61.5)."
"MP3020004-W164588","MP3020004-W164588","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 13 works at a median of Rs 461,445 -> 2026: 5 works at a median of Rs 5,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3020004-W164588","MP3020004-W164588","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017343-W35268","MP3017343-W35268","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 136.0)."
"MP3017343-W35268","MP3017343-W35268","Peer duration","duration","Open for longer than 95% of comparable works still in progress."
"MP3017343-W35268","MP3017343-W35268","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 20 works at a median of Rs 500,000 -> 2024: 58 works at a median of Rs 2,127,127. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017343-W35268","MP3017343-W35268","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017455-W51808","MP3017455-W51808","Peer amount","amount","Recommended amount at the 100th percentile of 598 comparable works (robust z 44.8)."
"MP3017455-W51808","MP3017455-W51808","Peer duration","duration","Open for longer than 91% of comparable works still in progress."
"MP3017455-W51808","MP3017455-W51808","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017455-W51808","MP3017455-W51808","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017343-W162408","MP3017343-W162408","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 194.2)."
"MP3017343-W162408","MP3017343-W162408","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 55%). Before/after - 2025: 122 works at a median of Rs 700,000 -> 2026: 45 works at a median of Rs 315,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017343-W162408","MP3017343-W162408","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019225-W68167","MP3019225-W68167","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 171.3)."
"MP3019225-W68167","MP3019225-W68167","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019225-W68167","MP3019225-W68167","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019643-W41077","MP3019643-W41077","Peer amount","amount","Recommended amount at the 100th percentile of 628 comparable works (robust z 48.3)."
"MP3019643-W41077","MP3019643-W41077","Peer duration","duration","Open for longer than 92% of comparable works still in progress."
"MP3019643-W41077","MP3019643-W41077","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 94%). Before/after - 2023: 50 works at a median of Rs 1,134,160 -> 2024: 73 works at a median of Rs 2,195,272. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019643-W41077","MP3019643-W41077","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
