"Work_Ref__c","Description__c","State__c","Constituency__c","Implementing_Agency__c","MP_Name__c","Recommended_Amount__c","Exposure__c","Audit_ROI__c","Priority__c","Confidence_Band__c","Signal_Families__c","Work_Type__c","Recommendation_Date__c","Work_Status__c","Evidence_Summary__c","Recommended_Next_Step__c","Suggested_Actions__c","Early_Warning_Level__c","Early_Warning_Reason__c","Compliance_Findings__c","Escalation_Tier__c","Target_Review_Date__c","Investigation_Status__c","Officer_Finding__c","Not_A_Fraud_Finding__c"
"MP3018356-W86316","Construction of Outdoor Gym in 70 locations in Various Blocks in the District of Saran","Bihar","SARAN","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Rajiv Pratap Rudy","65000000.00","28687135.00","135661423.00","0.9458","HIGH","4","Open gym - gym equipment - installation open","2024-01-21","Open","Peer amount: Recommended amount at the 100th percentile of 144 comparable works (robust z 115.3).; Peer duration: Open for longer than 100% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 70 works at a median of Rs 1,044,788 -> 2024: 42 works at a median of Rs 2,394,173. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Request a progress update from the implementing agency | Verify supporting documents and field evidence","HIGH","HIGH - open 5.5x longer than the typical completed work of this type in Bihar (155 days); and the survival model puts a 44% chance it will not complete within 365 days.","Stalled beyond peer norm (STATISTICAL_OUTLIER); Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3019436-W119849","Procurement of MRI Mechine to Hospital Agatti","Lakshadweep","LAKSHADWEEP(ST)","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","Faizal PP Mohammed(17th Lok Sabha)","75742166.00","13193184.00","46416518.00","0.8796","HIGH","3","Installation cctv - cctv cameras - cctv camera","2024-03-04","Open","Peer amount: Recommended amount at the 100th percentile of 30 comparable works (robust z 226.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 36 works at a median of Rs 927,890 -> 2024: 5 works at a median of Rs 2,511,808. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3017510-W231145","strengthening of flood protection bandh embankment in gurdaspur District.","Punjab","Sitting Rajya Sabha","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Raghav Chadha","27500000.00","9708411.00","34156322.00","0.8796","HIGH","3","Protection wall - construction protection - flood protection","2025-09-03","Open","Peer amount: Recommended amount at the 100th percentile of 950 comparable works (robust z 56.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 154 works at a median of Rs 167,450 -> 2024: 18 works at a median of Rs 424,227. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3042530-W216762","installation of semi high mask light octogonal and LED in 99 different blocks as per the attachment","Uttar Pradesh","SULTANPUR","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","RAMBHUAL NISHAD","24641199.00","8108750.00","28528363.00","0.8796","HIGH","3","Highmast light - installation highmast - mask light","2025-07-10","Open","Peer amount: Recommended amount at the 100th percentile of 6132 comparable works (robust z 1721.7).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.3x longer than the typical completed work of this type in Uttar Pradesh (252 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3042521-W274638","Sanlagn latter ke anusar 113 Nag Highmast Light (9.00 Mitar)","Uttar Pradesh","PHULPUR","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","PRAVEEN PATEL","20792000.00","7870376.00","27689712.00","0.8796","HIGH","3","Mast light - high mast - semi high","2026-03-16","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 212.2).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 878 works at a median of Rs 21,109 -> 2024: 557 works at a median of Rs 177,842. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3042791-W216827","Procurement of a 32 slice CT Scan Machine to to Indira Gandhi Hospital,Kavaratti","Lakshadweep","LAKSHADWEEP(ST)","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","MUHAMMED HAMDULLAH SAYEED","45000000.00","7840251.00","27583726.00","0.8796","HIGH","3","Installation cctv - cctv cameras - cctv camera","2025-07-10","Open","Peer amount: Recommended amount at the 97th percentile of 30 comparable works (robust z 133.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 36 works at a median of Rs 927,890 -> 2024: 5 works at a median of Rs 2,511,808. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","","State Nodal","2026-06-09","New","","TRUE"
"MP3019225-W229416","works recomonded in letter no 216 for jamalpur block","Uttar Pradesh","MIRZAPUR","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Smt Anupriya Patel","22131000.00","7798479.00","27436762.00","0.8796","HIGH","3","Construction paver - paving - village","2025-08-26","Open","Peer amount: Recommended amount at the 100th percentile of 13232 comparable works (robust z 225.9).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 90 works at a median of Rs 500,000 -> 2025: 23 works at a median of Rs 3,754,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3020008-W31791","Installation of CCTV Cameras","Delhi","EAST DELHI","South East(COMMISSIONER MCD SOUTH EAST_IDA)","Gautam Gambhir (17th Lok Sabha)","32000000.00","5576177.00","25892583.00","0.9287","HIGH","4","Installation cctv - cctv cameras - cctv camera","2023-10-05","Open","Peer amount: Recommended amount at the 100th percentile of 791 comparable works (robust z 69.4).; Peer duration: Open for longer than 94% of comparable works still in progress.; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 78%). Before/after - 2023: 12 works at a median of Rs 428,098 -> 2025: 10 works at a median of Rs 762,192. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","LOW - open 1.8x longer than the typical completed work of this type in Delhi (539 days).","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3017330-W180182","This money is being released for the construction of an overflow-type swimming pool at Malikhera Sports Stadium, Amroha.","Uttar Pradesh","Sitting Rajya Sabha","AMROHA(DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR_IDA)","Shri Jayant Chaudhary","25400000.00","7212142.00","25373901.00","0.8796","HIGH","3","Water tank - installation water - submersible pump","2025-03-08","Open","Peer amount: Recommended amount at the 100th percentile of 628 comparable works (robust z 56.0).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 83 works at a median of Rs 167,260 -> 2025: 45 works at a median of Rs 1,241,038. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
"MP3050535-W254735","Construction of Skill Hub Building with in the compound of Government ITI, Kakinada.","Andhra Pradesh","Sitting Rajya Sabha","Kakinada(DISTRICT COLLECTOR KAKINADA_IDA)","Shri Sana Sathish Babu","53000000.00","7647295.00","25320563.00","0.8278","HIGH","3","Construction building - community building - cultural activities","2025-12-23","Open","Peer amount: Recommended amount at the 100th percentile of 42 comparable works (robust z 117.5).; Behavioural change: Implementing agency's recommendation pattern shifted year-on-year (magnitude 57%). Before/after - 2024: 98 works at a median of Rs 478,294 -> 2025: 44 works at a median of Rs 750,916. A change point is a lead, not a finding: a new officer or a revised guideline produces one too.; Statistical outlier: A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio.","A human should verify the scope and estimate for this work against its peers via the Implementing Agency.","Review the lifecycle history and sanction record | Compare scope and estimate with peer works | Verify supporting documents and field evidence","LOW","No stalling indicators; the work is progressing within normal ranges.","Amount outlier vs peers (STATISTICAL_OUTLIER)","State Nodal","2026-06-09","New","","TRUE"
